FoodItem,Category,Calories,Protein(g),Carbs(g),Fats(g),DietType,Recipe,BaseWeight(g)
Peanut Butter Toast,Snack,220.0,8.0,20.0,12.0,Vegetarian,1. Simply portion out your Peanut Butter Toast. 2. Store the rest in an airtight container for lasting freshness.,72
BBQ Banana,Snack,136.5,1.0,40.5,0.0,Vegetarian,1. Simply portion out your BBQ Banana. 2. Store the rest in an airtight container for lasting freshness.,104
Cheesy Turkey Wrap,Lunch,490.0,30.0,38.5,19.2,Non-Vegetarian,1. Gather your Cheesy Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,219
Keto Apple,Snack,85.5,0.6,5.0,0.5,Vegetarian,1. Simply portion out your Keto Apple. 2. Store the rest in an airtight container for lasting freshness.,15
Herb-Roasted Brown Rice,Lunch,247.2,5.2,47.2,1.2,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Herb-Roasted Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,134
Cheesy Boiled Eggs,Snack,196.0,14.4,1.1,16.0,Non-Vegetarian,1. Simply portion out your Cheesy Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,79
Garlic Cottage Cheese,Snack,132.0,14.7,6.0,4.4,Vegetarian,1. Simply portion out your Garlic Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,63
Extra Lean Tuna Salad,Lunch,240.0,33.6,10.0,7.5,Non-Vegetarian,1. Gather your Extra Lean Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,128
Chipotle Banana,Snack,126.0,1.1,29.7,0.0,Vegetarian,1. Simply portion out your Chipotle Banana. 2. Store the rest in an airtight container for lasting freshness.,77
Cheesy Steak,Dinner,700.0,48.0,0.0,56.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cheesy Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,260
Cheesy Oatmeal,Breakfast,210.0,6.0,29.7,4.8,Vegetarian,1. Prepare the Cheesy Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,101
Lemon Pepper Banana,Snack,107.1,1.1,27.0,0.0,Vegetarian,1. Simply portion out your Lemon Pepper Banana. 2. Store the rest in an airtight container for lasting freshness.,70
Hummus & Carrots,Snack,150.0,5.0,18.0,8.0,Vegetarian,1. Simply portion out your Hummus & Carrots. 2. Store the rest in an airtight container for lasting freshness.,56
Lemon Pepper Paneer Tikka,Dinner,357.0,18.9,12.0,25.0,Vegetarian,1. Cube the Lemon Pepper Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,140
Honey Glazed Black Beans,Lunch,148.5,7.0,36.0,0.0,Vegetarian,1. Gather your Honey Glazed Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,108
Spicy Lentil Soup,Dinner,189.0,10.0,33.0,2.1,Vegetarian,1. Gather your Spicy Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,113
Lentil Soup,Dinner,180.0,10.0,30.0,2.0,Vegetarian,1. Gather your Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,105
Cheesy Scrambled Egg Whites,Breakfast,168.0,26.4,2.2,0.0,Non-Vegetarian,1. Prepare the Cheesy Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,72
Spicy Almonds,Snack,168.0,6.0,6.6,14.7,Vegetarian,1. Simply portion out your Spicy Almonds. 2. Store the rest in an airtight container for lasting freshness.,68
Herb-Roasted Salmon Fillet,Dinner,460.0,35.7,0.0,33.6,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Herb-Roasted Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,173
Smoked Paneer,Dinner,352.0,19.8,5.0,30.0,Vegetarian,1. Cube the Smoked Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,137
Extra Lean Apple,Snack,76.0,0.6,25.0,0.1,Vegetarian,1. Simply portion out your Extra Lean Apple. 2. Store the rest in an airtight container for lasting freshness.,64
Honey Glazed Brown Rice,Lunch,290.2,5.0,81.0,1.1,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Honey Glazed Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,218
Cajun Chicken Breast & Broccoli,Lunch,287.5,35.0,11.0,5.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cajun Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,130
Buttermilk Mixed Dal,Lunch,308.0,15.4,42.0,6.0,Vegetarian,1. Gather your Buttermilk Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,158
Smoked Pork Chop & Mash,Dinner,605.0,38.5,40.0,30.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Smoked Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,271
Smoked Edamame,Snack,132.0,12.1,10.0,6.0,Vegetarian,1. Simply portion out your Smoked Edamame. 2. Store the rest in an airtight container for lasting freshness.,70
Honey Glazed Paneer Tikka,Dinner,472.5,18.0,21.6,27.5,Vegetarian,1. Cube the Honey Glazed Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,168
Honey Glazed Tofu,Lunch,189.0,15.0,3.6,8.8,Vegetarian,1. Cube the Honey Glazed Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,68
Buttermilk Protein Smoothie,Breakfast,280.0,27.5,18.0,4.5,Vegetarian,1. Prepare the Buttermilk Protein Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,125
Garlic Chicken Breast,Lunch,181.5,32.6,0.0,3.3,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Garlic Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,90
Loaded Cereal with Milk,Breakfast,336.0,10.4,52.5,7.2,Vegetarian,1. Prepare the Loaded Cereal with Milk base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,175
Lemon Pepper Chicken Breast,Lunch,168.3,32.6,0.0,3.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Lemon Pepper Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,89
Buttermilk Tuna Sandwich,Lunch,560.0,30.8,42.0,22.5,Non-Vegetarian,1. Gather your Buttermilk Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,238
Teriyaki Protein Waffle,Breakfast,275.0,15.8,32.0,8.0,Vegetarian,1. Prepare the Teriyaki Protein Waffle base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,140
Keto Lentil Soup,Lunch,180.0,13.2,5.0,5.4,Vegetarian,1. Gather your Keto Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,59
BBQ Scrambled Eggs,Breakfast,182.0,12.0,1.5,11.0,Non-Vegetarian,1. Prepare the BBQ Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,61
Garlic Almonds,Snack,176.0,6.3,7.2,15.4,Vegetarian,1. Simply portion out your Garlic Almonds. 2. Store the rest in an airtight container for lasting freshness.,72
BBQ Steak and Rice,Dinner,780.0,40.0,67.5,27.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the BBQ Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,338
Smoked Quinoa,Lunch,242.0,8.8,39.0,3.6,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Smoked Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,128
Smoked Cottage Cheese,Snack,132.0,15.4,5.0,4.8,Vegetarian,1. Simply portion out your Smoked Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,63
Extra Lean Fruit Smoothie,Breakfast,144.0,2.4,45.0,0.5,Vegetarian,1. Prepare the Extra Lean Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,120
Black Beans,Lunch,110.0,7.0,20.0,0.0,Vegetarian,1. Gather your Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,68
Smoked Greek Yogurt,Breakfast,110.0,11.0,4.0,0.0,Vegetarian,1. Prepare the Smoked Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,38
Lemon Pepper Avocado Toast,Breakfast,255.0,6.3,24.0,15.0,Vegetarian,1. Prepare the Lemon Pepper Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,113
Buttermilk Paneer,Dinner,448.0,19.8,6.0,37.5,Vegetarian,1. Cube the Buttermilk Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,158
BBQ Shrimp Pasta,Dinner,624.0,30.0,82.5,13.2,Non-Vegetarian,1. Gather your BBQ Shrimp Pasta ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,314
Buttermilk Protein Waffle,Breakfast,308.0,16.5,24.0,12.0,Vegetarian,1. Prepare the Buttermilk Protein Waffle base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,131
